"HomeTeam","AwayTeam","Date","Contest","Type","HomeGoals","AwayGoals","HomeAdvantage"
"Saudi Arabia","United Arab Emirates","10/11/16","World Cup","Qualifiers-Asia",3,0,1
"Japan","Saudi Arabia","11/15/16","World Cup","Qualifiers-Asia",2,1,1
"Thailand","Australia","11/15/16","World Cup","Qualifiers-Asia",2,2,1
"United Arab Emirates","Iraq","11/15/16","World Cup","Qualifiers-Asia",2,0,1
"Iraq","Australia","03/23/17","World Cup","Qualifiers-Asia",1,1,1
"Thailand","Saudi Arabia","03/23/17","World Cup","Qualifiers-Asia",0,3,1
"United Arab Emirates","Japan","03/23/17","World Cup","Qualifiers-Asia",0,2,1
"Australia","United Arab Emirates","03/28/17","World Cup","Qualifiers-Asia",2,0,1
"Japan","Thailand","03/28/17","World Cup","Qualifiers-Asia",4,0,1
"Saudi Arabia","Iraq","03/28/17","World Cup","Qualifiers-Asia",1,0,1
"Australia","Saudi Arabia","06/08/17","World Cup","Qualifiers-Asia",3,2,1
"Thailand","United Arab Emirates","06/13/17","World Cup","Qualifiers-Asia",1,1,1
"Iraq","Japan","06/13/17","World Cup","Qualifiers-Asia",1,1,1
