"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeGoalsFull","AwayGoalsFull","ExtraTimePossible","HomeAdvantage"
"Germany","Spain","2018-03-23","Friendly",1,1,1,1,0,1
"Hungary","Kazakhstan","2018-03-23","Friendly",2,3,2,3,0,1
"Mexico","Iceland","2018-03-23","Friendly",3,0,3,0,0,0
"Uruguay","Czechia","2018-03-23","Friendly tournament",2,0,2,0,0,0
"Morocco","Serbia","2018-03-23","Friendly",2,1,2,1,0,0
"Tahiti","New Caledonia","2018-03-23","Friendly",4,3,4,3,0,1
"Saudi Arabia","Ukraine","2018-03-23","Friendly",1,1,1,1,0,0
"Tunisia","Iran","2018-03-23","Friendly",1,0,1,0,0,1
"Netherlands","England","2018-03-23","Friendly",0,1,0,1,0,1
"France","Colombia","2018-03-23","Friendly",2,3,2,3,0,1
"Poland","Nigeria","2018-03-23","Friendly",0,1,0,1,0,1
"Cyprus","Montenegro","2018-03-23","Friendly",0,0,0,0,0,1
"Austria","Slovenia","2018-03-23","Friendly",3,0,3,0,0,1
"Senegal","Uzbekistan","2018-03-23","Friendly",1,1,1,1,0,0
"Kyrgyzstan","Myanmar","2018-03-22","Asian Cup qualifier",5,1,5,1,0,0
"Burkina Faso","Guinea-Bissau","2018-03-22","Friendly",2,0,2,0,0,0
"Belize","Grenada","2018-03-22","Friendly",4,2,4,2,0,1
"Faroe Islands","Latvia","2018-03-22","Friendly",1,1,1,1,0,0
"Macao","Mauritius","2018-03-22","Friendly",0,1,0,1,0,1
"Slovakia","United Arab Emirates","2018-03-22","King's Cup",2,1,2,1,0,0
"Dominican Republic","Turks and Caicos","2018-03-22","Friendly",4,0,4,0,0,1
"Malta","Luxembourg","2018-03-22","Friendly",0,1,0,1,0,1
"Bahrain","Palestine","2018-03-22","Friendly",0,0,0,0,0,1
"Denmark","Panama","2018-03-22","Friendly",1,0,1,0,0,1
"Thailand","Gabon","2018-03-22","King's Cup",0,0,0,0,0,1
"Philippines","Fiji","2018-03-22","Friendly",3,2,3,2,0,1
"Malaysia","Mongolia","2018-03-22","Friendly",2,2,2,2,0,1
"Nicaragua","Cuba","2018-03-22","Friendly",3,1,3,1,0,1
"China","Wales","2018-03-22","Friendly tournament",0,6,0,6,0,1
"Algeria","Tanzania","2018-03-22","Friendly",4,1,4,1,0,1
"Zambia","Zimbabwe","2018-03-21","Friendly tournament",2,2,2,2,0,1
"Angola","South Africa","2018-03-21","Friendly tournament",1,1,1,1,0,0
"Jordan","Kuwait","2018-03-21","Friendly",1,0,1,0,0,1
"Laos","Cambodia","2018-03-21","Friendly",0,1,0,1,0,1
"Iraq","Qatar","2018-03-21","Friendly tournament",2,3,2,3,0,1
"Madagascar","Togo","2018-03-21","Friendly",0,0,0,0,0,0
"Andorra","Liechtenstein","2018-03-21","Friendly",1,0,1,0,0,0
"Antigua and Barbuda","Bermuda","2018-03-21","Friendly",3,2,3,2,0,1
"Tahiti","New Caledonia","2018-03-20","Friendly",0,0,0,0,0,1
"Iran","Sierra Leone","2018-03-17","Friendly",4,0,4,0,0,1
"Iraq","Saudi Arabia","2018-02-28","Friendly",4,1,4,1,0,1
"Saudi Arabia","Moldova","2018-02-26","Friendly",3,0,3,0,0,1
"South Korea","Latvia","2018-02-03","Friendly",1,0,1,0,0,0
"Mexico","Bosnia and Herzegovina","2018-01-31","Friendly",1,0,1,0,0,0
"Jamaica","South Korea","2018-01-30","Friendly",2,2,2,2,0,0
