HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,Youth
Chile,Panama,06/15/16,COP-G,4,2,0,0
France,Albania,06/15/16,EUC-G,2,0,1,0
Romania,Switzerland,06/15/16,EUC-G,1,1,0,0
Russia,Slovakia,06/15/16,EUC-G,1,2,0,0
Mexico,Venezuela,06/14/16,COP-G,1,1,0,0
Uruguay,Jamaica,06/14/16,COP-G,3,0,0,0
Austria,Hungary,06/14/16,EUC-G,0,2,0,0
Portugal,Iceland,06/14/16,EUC-G,1,1,0,0
Brazil,Peru,06/13/16,COP-G,0,1,0,0
Ecuador,Haiti,06/13/16,COP-G,4,0,0,0
Belgium,Italy,06/13/16,EUC-G,0,2,0,0
Republic of Ireland,Sweden,06/13/16,EUC-G,1,1,0,0
Spain,Czech Republic,06/13/16,EUC-G,1,0,0,0
Colombia,Costa Rica,06/12/16,COP-G,2,3,0,0
United States,Paraguay,06/12/16,COP-G,1,0,1,0
Germany,Ukraine,06/12/16,EUC-G,2,0,0,0
Poland,Northern Ireland,06/12/16,EUC-G,1,0,0,0
Turkey,Croatia,06/12/16,EUC-G,0,1,0,0
Argentina,Panama,06/11/16,COP-G,5,0,0,0
Chile,Bolivia,06/11/16,COP-G,2,1,0,0
Albania,Switzerland,06/11/16,EUC-G,0,1,0,0
England,Russia,06/11/16,EUC-G,1,1,0,0
Wales,Slovakia,06/11/16,EUC-G,2,1,0,0
New Zealand,Papua New Guinea,06/11/16,OFC-K,0,0,0,0
Mexico,Jamaica,06/10/16,COP-G,2,0,0,0
Uruguay,Venezuela,06/10/16,COP-G,0,1,0,0
France,Romania,06/10/16,EUC-G,2,1,1,0
Brazil,Haiti,06/09/16,COP-G,7,1,0,0
Ecuador,Peru,06/09/16,COP-G,2,2,0,0
Colombia,Paraguay,06/08/16,COP-G,2,1,0,0
United States,Costa Rica,06/08/16,COP-G,4,0,1,0
New Zealand,New Caledonia,06/08/16,OFC-K,1,0,0,0
Papua New Guinea,Solomon Islands,06/08/16,OFC-K,2,1,1,0
Argentina,Chile,06/07/16,COP-G,2,1,0,0
Panama,Bolivia,06/07/16,COP-G,2,1,0,0
Mexico,Uruguay,06/06/16,COP-G,3,1,0,0
Brazil,Ecuador,06/05/16,COP-G,0,0,0,0
Haiti,Peru,06/05/16,COP-G,0,1,0,0
Jamaica,Venezuela,06/05/16,COP-G,0,1,0,0
Papua New Guinea,Samoa,06/05/16,OFC-G,8,0,1,0
Tahiti,New Caledonia,06/05/16,OFC-G,1,1,0,0
Costa Rica,Paraguay,06/04/16,COP-G,0,0,0,0
United States,Colombia,06/04/16,COP-G,0,2,1,0
Fiji,Vanuatu,06/04/16,OFC-G,2,3,0,0
New Zealand,Solomon Islands,06/04/16,OFC-K,1,0,0,0
Papua New Guinea,Tahiti,06/01/16,OFC-G,2,2,1,0
New Caledonia,Samoa,06/01/16,OFC-G,7,0,0,0
Vanuatu,New Zealand,05/31/16,OFC-G,0,5,0,0
Solomon Islands,Fiji,05/31/16,OFC-G,0,1,0,0
Papua New Guinea,New Caledonia,05/29/16,OFC-G,1,1,1,0
Tahiti,Samoa,05/29/16,OFC-G,4,0,0,0
New Zealand,Fiji,05/28/16,OFC-G,3,1,0,0
Vanuatu,Solomon Islands,05/28/16,OFC-G,0,1,0,0
Costa Rica,Jamaica,03/30/16,WOC-Q-North America,3,0,1,0
Honduras,El Salvador,03/30/16,WOC-Q-North America,2,0,1,0
Mexico,Canada,03/30/16,WOC-Q-North America,2,0,1,0
Panama,Haiti,03/30/16,WOC-Q-North America,1,0,1,0
Trinidad and Tobago,Saint Vincent and the Grenadines,03/30/16,WOC-Q-North America,6,0,1,0
United States,Guatemala,03/30/16,WOC-Q-North America,4,0,1,0
Argentina,Bolivia,03/30/16,WOC-Q-South America,2,0,1,0
Paraguay,Brazil,03/30/16,WOC-Q-South America,2,2,1,0
