"Player","Contest","Year","Apps","Goals"
"Adam Ljajic","EUC-Q",2016,5,2
"Adam Ljajic","Friendlies",2016,2,0
"Adam Ljajic","Friendlies",2015,3,1
"Adam Ljajic","Friendlies",2014,2,0
"Adam Ljajic","EUC-Q",2012,2,0
"Adam Ljajic","Friendlies",2012,1,0
"Adam Ljajic","Friendlies",2011,3,0
"Adam Ljajic","Friendlies",2010,1,0
"Agim Ibraimi","EUC-Q",2016,8,1
"Agim Ibraimi","Friendlies",2016,2,0
"Agim Ibraimi","Friendlies",2015,2,0
"Agim Ibraimi","Friendlies",2014,3,1
"Agim Ibraimi","WOC-Q",2014,9,2
"Agim Ibraimi","Friendlies",2013,3,2
"Agim Ibraimi","EUC-Q",2012,4,0
"Agim Ibraimi","Friendlies",2012,5,1
"Agim Ibraimi","Friendlies",2011,1,0
"Agim Ibraimi","Friendlies",2010,1,0
"Agim Ibraimi","Friendlies",2009,1,0
"Aiden McGeady","EUC-G",2012,1,0
"Alan Dzagoev","EUC-G",2012,3,3
"Aleksandar Trajkovski","EUC-Q",2016,9,2
"Aleksandar Trajkovski","Friendlies",2016,1,0
"Aleksandar Trajkovski","Friendlies",2015,3,3
"Aleksandar Trajkovski","Friendlies",2014,2,0
"Aleksandar Trajkovski","WOC-Q",2014,6,1
"Aleksandar Trajkovski","Friendlies",2013,2,1
"Aleksandar Trajkovski","EUC-Q",2012,2,0
"Aleksandar Trajkovski","Friendlies",2012,1,0
"Aleksandar Trajkovski","Friendlies",2011,1,0
"Aleksandr Kokorin","EUC-Q",2016,9,3
"Aleksandr Kokorin","Friendlies",2016,1,1
"Aleksandr Kokorin","Friendlies",2015,1,1
"Aleksandr Kokorin","Friendlies",2014,5,1
"Aleksandr Kokorin","WOC-G",2014,2,0
"Aleksandr Kokorin","WOC-Q",2014,8,4
"Aleksandr Kokorin","Friendlies",2013,2,0
"Aleksandr Kokorin","EUC-G",2012,1,0
"Aleksandr Kokorin","Friendlies",2012,6,0
"Aleksandr Kokorin","Friendlies",2011,1,0
"Aleksey Shchetkin","EUC-Q",2016,5,0
"Aleksey Shchetkin","EUC-Q",2016,5,0
"Aleksey Shchetkin","Friendlies",2016,2,0
"Aleksey Shchetkin","Friendlies",2016,2,0
"Aleksey Shchetkin","Friendlies",2015,3,1
"Aleksey Shchetkin","Friendlies",2015,3,1
"Aleksey Shchetkin","Friendlies",2014,3,0
"Aleksey Shchetkin","Friendlies",2014,3,0
"Aleksey Shchetkin","WOC-Q",2014,4,0
"Aleksey Shchetkin","WOC-Q",2014,4,0
"Aleksey Shchetkin","Friendlies",2013,1,0
"Aleksey Shchetkin","Friendlies",2013,1,0
"Alexander Kerzhakov","Friendlies",2013,2,0
"Alexander Kerzhakov","EUC-G",2012,3,0
"Alexander Kerzhakov","EUC-Q",2012,5,2
"Alexander Kerzhakov","Friendlies",2012,5,2
"Alexander Kerzhakov","Friendlies",2011,2,0
"Alexander Kerzhakov","WOC-Q",2010,5,2
"Alexander Kerzhakov","Friendlies",2009,1,0
"Alexander Kerzhakov","EUC-Q",2008,9,5
"Alexander Kerzhakov","Friendlies",2006,3,0
"Alexander Kerzhakov","WOC-Q",2006,10,4
"Alexander Kerzhakov","Friendlies",2005,2,0
"Alexander Kerzhakov","EUC-G",2004,1,0
"Alexander Kerzhakov","EUC-Q",2004,7,2
"Alexander Kerzhakov","Friendlies",2004,4,0
"Alexander Kerzhakov","Friendlies",2003,2,0
"Alexander Kerzhakov","Friendlies",2002,4,1
"Alexander Kerzhakov","WOC-G",2002,1,0
"Alvaro Negredo","WOC-Q",2014,4,3
"Alvaro Negredo","Friendlies",2013,5,1
"Alvaro Negredo","EUC-G",2012,1,0
"Alvaro Negredo","EUC-K",2012,1,0
"Alvaro Negredo","EUC-Q",2012,1,2
"Alvaro Negredo","Friendlies",2012,3,1
"Alvaro Negredo","Friendlies",2011,2,1
"Alvaro Negredo","WOC-Q",2010,2,2
"Alvaro Negredo","Friendlies",2009,2,0
"Andraz Kirm","EUC-Q",2016,6,0
"Andraz Kirm","Friendlies",2016,2,0
"Andraz Kirm","Friendlies",2015,1,0
"Andraz Kirm","Friendlies",2014,3,0
"Andraz Kirm","WOC-Q",2014,8,1
"Andraz Kirm","Friendlies",2013,4,0
"Andraz Kirm","EUC-Q",2012,9,0
"Andraz Kirm","Friendlies",2012,4,2
"Andraz Kirm","Friendlies",2011,3,0
"Andraz Kirm","Friendlies",2010,4,2
"Andraz Kirm","WOC-G",2010,2,0
"Andraz Kirm","WOC-Q",2010,12,1
"Andraz Kirm","Friendlies",2009,1,0
"Andraz Kirm","EUC-Q",2008,5,0
"Andraz Kirm","Friendlies",2008,3,0
"Andre Schurrle","EUC-K",2014,2,0
"Andre Schurrle","EUC-K",2012,1,0
"Andrey Arshavin","EUC-G",2012,3,0
"Andriy Shevchenko","EUC-G",2012,3,2
"Andriy Shevchenko","Friendlies",2012,3,0
"Andriy Shevchenko","Friendlies",2011,5,1
"Andriy Shevchenko","Friendlies",2010,6,2
"Andriy Shevchenko","WOC-Q",2010,11,6
"Andriy Shevchenko","Friendlies",2009,1,0
"Andriy Shevchenko","EUC-Q",2008,8,5
"Andriy Shevchenko","Friendlies",2008,3,1
"Andriy Shevchenko","Friendlies",2007,2,0
"Andriy Shevchenko","Friendlies",2006,1,1
"Andriy Shevchenko","WOC-G",2006,3,2
"Andriy Shevchenko","WOC-K",2006,2,0
"Andriy Shevchenko","WOC-Q",2006,9,6
"Andriy Shevchenko","Friendlies",2005,1,0
"Andriy Shevchenko","EUC-Q",2004,4,3
"Andriy Shevchenko","Friendlies",2004,2,0
"Andriy Shevchenko","Friendlies",2003,4,0
"Andriy Shevchenko","Friendlies",2002,2,0
"Andriy Shevchenko","WOC-Q",2002,12,10
"Andriy Shevchenko","EUC-Q",2000,12,2
"Andriy Shevchenko","Friendlies",2000,2,1
"Andriy Shevchenko","Friendlies",1998,2,1
"Andriy Shevchenko","WOC-Q",1998,8,4
"Andriy Shevchenko","Friendlies",1997,1,0
"Andriy Shevchenko","EUC-Q",1996,2,0
"Andriy Shevchenko","Friendlies",1996,2,1
"Andriy Voronin","EUC-G",2012,1,0
"Andriy Voronin","Friendlies",2012,3,1
"Andriy Voronin","Friendlies",2011,5,1
"Andriy Voronin","Friendlies",2010,3,0
"Andriy Voronin","WOC-Q",2010,6,0
"Andriy Voronin","Friendlies",2009,1,0
"Andriy Voronin","EUC-Q",2008,12,1
"Andriy Voronin","Friendlies",2008,3,0
"Andriy Voronin","Friendlies",2007,2,0
"Andriy Voronin","Friendlies",2006,6,2
"Andriy Voronin","WOC-G",2006,3,0
"Andriy Voronin","WOC-K",2006,1,0
"Andriy Voronin","WOC-Q",2006,11,1
"Andriy Voronin","Friendlies",2005,1,0
"Andriy Voronin","EUC-Q",2004,7,2
"Andriy Voronin","Friendlies",2004,2,0
"Andriy Voronin","Friendlies",2003,4,0
"Andriy Voronin","Friendlies",2002,2,0
"Andriy Yarmolenko","EUC-G",2012,1,0
"Andy Carroll","WOC-Q",2014,1,0
"Andy Carroll","EUC-G",2012,2,1
"Andy Carroll","EUC-K",2012,1,0
"Andy Carroll","EUC-Q",2012,1,0
"Andy Carroll","Friendlies",2012,2,0
"Andy Carroll","Friendlies",2011,1,1
"Andy Carroll","Friendlies",2010,1,0
"Antonio Cassano","Friendlies",2014,2,0
"Antonio Cassano","WOC-G",2014,2,0
"Antonio Cassano","EUC-G",2012,3,1
"Antonio Cassano","EUC-K",2012,3,0
"Antonio Cassano","EUC-Q",2012,10,6
"Antonio Cassano","Friendlies",2012,1,0
"Antonio Cassano","Friendlies",2011,2,0
"Antonio Cassano","Friendlies",2010,1,0
"Antonio Cassano","EUC-G",2008,3,0
"Antonio Cassano","EUC-K",2008,1,0
"Antonio Cassano","EUC-Q",2008,2,0
"Antonio Cassano","Friendlies",2008,1,0
"Antonio Cassano","WOC-Q",2006,2,0
"Antonio Cassano","EUC-G",2004,2,1
"Antonio Cassano","Friendlies",2004,1,0
"Antonio Cassano","Friendlies",2003,2,1
"Antonio Di Natale","EUC-G",2012,3,1
"Antonio Di Natale","EUC-K",2012,2,0
"Antonio Di Natale","Friendlies",2012,1,0
"Antonio Di Natale","Friendlies",2010,3,0
"Antonio Di Natale","WOC-G",2010,3,1
"Antonio Di Natale","WOC-Q",2010,7,2
"Antonio Di Natale","Friendlies",2009,2,0
"Antonio Di Natale","EUC-G",2008,1,0
"Antonio Di Natale","EUC-K",2008,1,0
"Antonio Di Natale","EUC-Q",2008,8,2
"Antonio Di Natale","Friendlies",2008,4,3
"Antonio Di Natale","Friendlies",2007,1,1
"Antonio Di Natale","Friendlies",2006,2,1
"Antonio Di Natale","Friendlies",2004,1,1
"Antonio Di Natale","Friendlies",2003,1,0
"Antonio Di Natale","Friendlies",2002,1,0
"Arjen Robben","EUC-Q",2016,4,2
"Arjen Robben","WOC-G",2014,3,3
"Arjen Robben","WOC-K",2014,4,0
"Arjen Robben","WOC-Q",2014,6,3
"Arjen Robben","EUC-G",2012,3,0
"Arjen Robben","WOC-G",2010,1,0
"Arjen Robben","WOC-K",2010,4,2
"Arjen Robben","WOC-Q",2010,6,1
"Arjen Robben","EUC-G",2008,1,0
"Arjen Robben","WOC-G",2006,2,1
"Arjen Robben","WOC-K",2006,1,0
"Arjen Robben","WOC-Q",2006,6,2
"Arjen Robben","EUC-G",2004,2,0
"Arjen Robben","EUC-K",2004,2,0
"Arjen Robben","EUC-Q",2004,2,1
"Artak Grigoryan","Friendlies",2015,1,0
"Artak Grigoryan","Friendlies",2010,1,0
"Artem Milevskiy","Friendlies",2015,2,0
"Artem Milevskiy","WOC-Q",2014,2,0
"Artem Milevskiy","Friendlies",2013,2,1
"Artem Milevskiy","EUC-G",2012,2,0
"Artem Milevskiy","Friendlies",2012,4,1
"Artem Milevskiy","Friendlies",2010,3,0
"Artem Milevskiy","Friendlies",2009,2,1
"Artem Milevskiy","EUC-Q",2008,6,0
"Artem Milevskiy","Friendlies",2008,4,1
"Artem Milevskiy","Friendlies",2007,1,0
"Artem Milevskiy","WOC-G",2006,2,0
"Artem Milevskiy","WOC-K",2006,2,0
"Artem Milevskyi","WOC-Q",2014,1,0
"Artem Milevskyi","EUC-G",2012,2,0
"Artem Milevskyi","Friendlies",2012,4,1
"Artem Milevskyi","Friendlies",2011,9,2
"Artem Milevskyi","Friendlies",2010,6,1
"Artem Milevskyi","WOC-Q",2010,10,2
"Artur Sarkisov","EUC-Q",2016,4,0
"Artur Sarkisov","Friendlies",2016,1,0
"Artur Sarkisov","Friendlies",2015,1,0
"Artur Sarkisov","Friendlies",2014,6,1
"Artur Sarkisov","WOC-Q",2014,9,1
"Artur Sarkisov","Friendlies",2013,2,0
"Artur Sarkisov","EUC-Q",2012,4,2
"Artur Sarkisov","Friendlies",2012,5,0
"Artur Sarkisov","Friendlies",2011,1,0
"Bjorn Vleminckx","Friendlies",2011,1,0
"Bjorn Vleminckx","WOC-Q",2010,5,0
"Bjorn Vleminckz","Friendlies",2011,2,0
"Bjorn Vleminckz","Friendlies",2010,1,0
"Blazhe Ilijoski","EUC-Q",2016,2,0
"Blazhe Ilijoski","Friendlies",2015,2,0
"Blazhe Ilijoski","Friendlies",2014,4,0
"Blazhe Ilijoski","EUC-Q",2012,1,0
"Blazhe Ilijoski","Friendlies",2010,2,0
"Branimir Subasic","WOC-Q",2014,4,0
"Branimir Subasic","Friendlies",2013,1,0
"Branimir Subasic","EUC-Q",2012,3,0
"Branimir Subasic","Friendlies",2012,4,1
"Branimir Subasic","Friendlies",2009,2,0
"Branimir Subasic","EUC-Q",2008,8,1
"Branimir Subasic","Friendlies",2007,1,1
"Christian Benteke","EUC-Q",2016,5,1
"Christian Benteke","Friendlies",2015,1,0
"Christian Benteke","Friendlies",2014,2,0
"Christian Benteke","WOC-Q",2014,7,2
"Christian Benteke","Friendlies",2013,4,2
"Christian Benteke","EUC-Q",2012,1,0
"Christian Benteke","Friendlies",2012,3,2
"Christian Benteke","Friendlies",2010,2,0
"Cihan Ozkara","Friendlies",2014,3,0
"Cihan Ozkara","WOC-Q",2014,7,0
"Cihan Ozkara","Friendlies",2013,3,0
"Cihan Ozkara","Friendlies",2012,3,1
"Cristian Martinez","EUC-Q",2016,8,0
"Cristian Martinez","Friendlies",2016,1,0
"Cristian Martinez","Friendlies",2015,2,0
"Cristian Martinez","Friendlies",2014,2,0
"Cristian Martinez","WOC-Q",2014,6,0
"Cristian Martinez","Friendlies",2013,1,0
"Cristian Martinez","EUC-Q",2012,9,1
"Cristian Martinez","Friendlies",2012,2,0
"Cristian Martinez","Friendlies",2011,1,0
"Cristian Martinez","Friendlies",2010,1,0
"Cristian Martinez","WOC-Q",2010,2,0
"Cristiano Ronaldo","EUC-Q",2016,6,5
"Cristiano Ronaldo","Friendlies",2016,2,1
"Cristiano Ronaldo","Friendlies",2015,1,0
"Cristiano Ronaldo","Friendlies",2014,4,2
"Cristiano Ronaldo","WOC-G",2014,3,1
"Cristiano Ronaldo","WOC-Q",2014,10,8
"Cristiano Ronaldo","Friendlies",2012,4,1
"Cristiano Ronaldo","Friendlies",2011,2,2
"Cristiano Ronaldo","Friendlies",2010,5,0
"Cristiano Ronaldo","WOC-G",2010,3,1
"Cristiano Ronaldo","WOC-K",2010,1,0
"Cristiano Ronaldo","WOC-Q",2010,7,0
"Cristiano Ronaldo","Friendlies",2009,2,1
"Cristiano Ronaldo","EUC-G",2008,2,1
"Cristiano Ronaldo","EUC-K",2008,1,0
"Cristiano Ronaldo","EUC-Q",2008,13,8
"Cristiano Ronaldo","Friendlies",2008,3,0
"Cristiano Ronaldo","Friendlies",2007,1,0
"Cristiano Ronaldo","Friendlies",2006,4,2
"Cristiano Ronaldo","WOC-G",2006,2,1
"Cristiano Ronaldo","WOC-K",2006,4,0
"Cristiano Ronaldo","WOC-Q",2006,12,7
"Cristiano Ronaldo","Friendlies",2005,4,0
"Cristiano Ronaldo","EUC-G",2004,3,1
"Cristiano Ronaldo","EUC-K",2004,3,1
"Cristiano Ronaldo","Friendlies",2004,5,0
"Cristiano Ronaldo","Friendlies",2003,2,0
"Damien Duff","EUC-G",2012,1,0
"Danko Lazovic","EUC-Q",2016,3,0
"Danko Lazovic","Friendlies",2014,1,0
"Danko Lazovic","EUC-Q",2012,3,1
"Danko Lazovic","Friendlies",2010,4,0
"Danko Lazovic","WOC-G",2010,3,0
"Danko Lazovic","WOC-Q",2010,4,0
"Danko Lazovic","Friendlies",2009,5,2
"Danko Lazovic","EUC-Q",2008,12,4
"Danko Lazovic","Friendlies",2008,4,0
"Danko Lazovic","Friendlies",2006,1,1
"Danny Welbeck","EUC-Q",2016,5,6
"Danny Welbeck","Friendlies",2016,1,0
"Danny Welbeck","Friendlies",2014,6,0
"Danny Welbeck","WOC-G",2014,2,0
"Danny Welbeck","WOC-Q",2014,8,4
"Danny Welbeck","Friendlies",2013,2,1
"Danny Welbeck","EUC-G",2012,3,1
"Danny Welbeck","EUC-K",2012,1,0
"Danny Welbeck","EUC-Q",2012,1,0
"Danny Welbeck","Friendlies",2012,3,2
"Danny Welbeck","Friendlies",2011,2,0
"David Lafata","EUC-Q",2016,7,1
"David Lafata","Friendlies",2014,1,0
"David Lafata","WOC-Q",2014,6,1
"David Lafata","Friendlies",2013,1,1
"David Lafata","EUC-G",2012,1,0
"David Lafata","EUC-Q",2012,2,0
"David Lafata","Friendlies",2012,6,3
"David Lafata","Friendlies",2011,2,0
"David Lafata","KIC",2011,2,0
"David Lafata","Friendlies",2010,3,0
"David Lafata","WOC-Q",2010,1,0
"David Lafata","Friendlies",2009,1,0
"David Lafata","EUC-Q",2008,2,2
"David Lafata","Friendlies",2007,1,0
"David Lafata","Friendlies",2006,1,0
"David Silva","WOC-G",2014,2,0
"David Silva","WOC-Q",2014,5,0
"David Silva","COC-K",2013,1,0
"David Silva","EUC-G",2012,3,1
"David Silva","EUC-K",2012,3,1
"David Silva","EUC-Q",2012,6,4
"David Silva","WOC-G",2010,1,0
"David Villa","Friendlies",2014,1,2
"David Villa","WOC-G",2014,1,1
"David Villa","WOC-Q",2014,4,0
"David Villa","COC-G",2013,2,3
"David Villa","COC-K",2013,1,0
"David Villa","Friendlies",2013,4,0
"David Villa","EUC-Q",2012,8,7
"David Villa","Friendlies",2012,2,2
"David Villa","Friendlies",2011,7,2
"David Villa","Friendlies",2010,6,3
"David Villa","WOC-G",2010,3,4
"David Villa","WOC-K",2010,4,1
"David Villa","WOC-Q",2010,7,7
"David Villa","COC-G",2009,3,3
"David Villa","COC-K",2009,2,0
"David Villa","Friendlies",2009,5,6
"David Villa","EUC-G",2008,3,4
"David Villa","EUC-K",2008,1,0
"David Villa","EUC-Q",2008,11,7
"David Villa","Friendlies",2008,5,3
"David Villa","Friendlies",2007,2,0
"David Villa","Friendlies",2006,7,2
"David Villa","WOC-G",2006,3,2
"David Villa","WOC-K",2006,1,1
"David Villa","WOC-Q",2006,4,1
"Dennis Rommedahl","WOC-Q",2014,6,0
"Dennis Rommedahl","Friendlies",2013,3,0
"Dennis Rommedahl","EUC-G",2012,2,0
"Dennis Rommedahl","EUC-Q",2012,8,3
"Dennis Rommedahl","Friendlies",2012,3,0
"Dennis Rommedahl","Friendlies",2011,4,0
"Dennis Rommedahl","Friendlies",2010,6,1
"Dennis Rommedahl","WOC-G",2010,1,1
"Dennis Rommedahl","Friendlies",2009,2,0
"Dennis Rommedahl","EUC-Q",2008,11,4
"Dennis Rommedahl","Friendlies",2008,6,0
"Dennis Rommedahl","Friendlies",2007,3,0
"Dennis Rommedahl","Friendlies",2006,2,1
"Dennis Rommedahl","WOC-Q",2006,10,1
"Dennis Rommedahl","Friendlies",2005,2,1
"Dennis Rommedahl","EUC-G",2004,3,0
"Dennis Rommedahl","EUC-Q",2004,8,2
"Dennis Rommedahl","Friendlies",2004,4,0
"Dennis Rommedahl","Friendlies",2003,4,0
"Dennis Rommedahl","Friendlies",2002,7,1
"Dennis Rommedahl","WOC-G",2002,3,1
"Dennis Rommedahl","WOC-K",2002,1,0
"Dennis Rommedahl","WOC-Q",2002,10,3
"Dennis Rommedahl","Friendlies",2001,3,0
"Dennis Rommedahl","Friendlies",2000,1,2
"Dimitris Salpingidis","EUC-Q",2016,2,0
"Dimitris Salpingidis","Friendlies",2014,4,0
"Dimitris Salpingidis","WOC-G",2014,2,0
"Dimitris Salpingidis","WOC-K",2014,1,0
"Dimitris Salpingidis","WOC-Q",2014,9,4
"Dimitris Salpingidis","Friendlies",2013,1,0
"Dimitris Salpingidis","EUC-G",2012,3,1
"Dimitris Salpingidis","EUC-K",2012,1,1
"Dimitris Salpingidis","EUC-Q",2012,10,1
"Dimitris Salpingidis","Friendlies",2012,4,1
"Dimitris Salpingidis","Friendlies",2011,4,0
"Dimitris Salpingidis","Friendlies",2010,5,1
"Dimitris Salpingidis","WOC-G",2010,2,1
"Dimitris Salpingidis","WOC-Q",2010,9,2
"Dimitris Salpingidis","Friendlies",2009,1,0
"Dimitris Salpingidis","EUC-G",2008,1,0
"Dimitris Salpingidis","EUC-Q",2008,4,0
"Dimitris Salpingidis","Friendlies",2008,6,0
"Dimitris Salpingidis","Friendlies",2007,1,0
"Dimitris Salpingidis","Friendlies",2006,6,0
"Dimitris Salpingidis","WOC-Q",2006,2,0
"Dimitris Salpingidis","Friendlies",2005,2,0
"Dirk Kuyt","Friendlies",2014,1,0
"Dirk Kuyt","Friendlies",2013,2,0
"Dirk Kuyt","EUC-G",2012,2,0
"Dirk Kuyt","EUC-Q",2012,9,6
"Dirk Kuyt","Friendlies",2012,5,0
"Dirk Kuyt","Friendlies",2011,5,2
"Dirk Kuyt","Friendlies",2010,4,2
"Dirk Kuyt","WOC-G",2010,3,1
"Dirk Kuyt","WOC-K",2010,4,0
"Dirk Kuyt","WOC-Q",2010,8,3
"Dirk Kuyt","Friendlies",2009,6,1
"Dirk Kuyt","EUC-G",2008,3,1
"Dirk Kuyt","EUC-K",2008,1,0
"Dirk Kuyt","EUC-Q",2008,7,1
"Dirk Kuyt","Friendlies",2008,6,2
"Dirk Kuyt","Friendlies",2007,4,1
"Dirk Kuyt","Friendlies",2006,6,1
"Dirk Kuyt","WOC-G",2006,2,0
"Dirk Kuyt","WOC-K",2006,1,0
"Dirk Kuyt","WOC-Q",2006,11,3
"Dirk Kuyt","Friendlies",2005,3,0
"Dirk Kuyt","Friendlies",2004,1,0
"Dragan Mrda","Friendlies",2014,2,0
"Dragan Mrda","EUC-Q",2012,2,0
"Dragan Mrda","Friendlies",2011,2,0
"Dragan Mrda","Friendlies",2010,6,2
"Dragan Mrda","Friendlies",2008,1,0
"Dries Mertens","EUC-Q",2016,9,3
"Dries Mertens","Friendlies",2016,1,0
"Dries Mertens","Friendlies",2015,1,0
"Dries Mertens","Friendlies",2014,5,2
"Dries Mertens","WOC-G",2014,3,1
"Dries Mertens","WOC-K",2014,2,0
"Dries Mertens","WOC-Q",2014,5,0
"Dries Mertens","Friendlies",2013,5,1
"Dries Mertens","EUC-Q",2012,4,0
"Dries Mertens","Friendlies",2012,4,1
"Dries Mertens","Friendlies",2011,4,0
"Dushan Savikj","Friendlies",2013,1,0
"Dushan Savikj","EUC-Q",2012,1,0
"Dushan Savikj","Friendlies",2009,3,0
"Eden Hazard","WOC-G",2014,2,0
"Eden Hazard","WOC-K",2014,2,0
"Edgar Manucharyan","EUC-Q",2016,4,0
"Edgar Manucharyan","Friendlies",2016,1,0
"Edgar Manucharyan","Friendlies",2014,3,0
"Edgar Manucharyan","WOC-Q",2014,3,0
"Edgar Manucharyan","Friendlies",2013,1,1
"Edgar Manucharyan","EUC-Q",2012,10,1
"Edgar Manucharyan","Friendlies",2012,1,1
"Edgar Manucharyan","Friendlies",2011,2,1
"Edgar Manucharyan","Friendlies",2010,2,2
"Edgar Manucharyan","WOC-Q",2010,4,0
"Edgar Manucharyan","EUC-Q",2008,5,0
"Edgar Manucharyan","WOC-Q",2006,7,1
"Edgar Manucharyan","Friendlies",2004,1,0
"Eduardo","Friendlies",2014,3,0
"Eduardo","WOC-G",2014,1,0
"Eduardo","WOC-Q",2014,7,2
"Eduardo","Friendlies",2013,2,2
"Eduardo","EUC-G",2012,3,0
"Eduardo","EUC-Q",2012,11,3
"Eduardo","Friendlies",2012,4,3
"Eduardo","Friendlies",2011,2,1
"Eduardo","Friendlies",2010,3,0
"Eduardo","WOC-Q",2010,4,3
"Eduardo","Friendlies",2009,2,2
"Eduardo","EUC-Q",2008,12,10
"Eduardo","Friendlies",2008,1,0
