HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,HomeAttack,HomeDefense,AwayAttack,AwayDefense,HomeAttackNext,HomeDefenseNext,AwayAttackNext,AwayDefenseNext
"Estonia","San Marino","2015/06/14","EUC-Q",2,0,1,-0.4197,0.2605,-1.0527,0.8748,-0.4081,0.2292,-1.0836,0.8866
"Liechtenstein","Moldova","2015/06/14","EUC-Q",1,1,1,-0.6404,0.3717,-0.2959,0.3181,-0.6064,0.3882,-0.2796,0.3525
"Lithuania","Switzerland","2015/06/14","EUC-Q",1,2,1,-0.3557,0.1181,0.2669,-0.2684,-0.2903,0.1597,0.3081,-0.2025
"Russia","Austria","2015/06/14","EUC-Q",0,1,1,0.2558,-0.2433,0.2657,-0.2307,0.1786,-0.2225,0.2862,-0.309
"Slovakia","Macedonia","2015/06/14","EUC-Q",2,1,1,0.2619,-0.1339,-0.1812,0.408,0.2556,-0.0794,-0.1271,0.4016
"Slovenia","England","2015/06/14","EUC-Q",2,3,1,0.0853,-0.1412,0.5726,-0.4517,0.1828,-0.0786,0.6361,-0.3557
"Sweden","Montenegro","2015/06/14","EUC-Q",3,1,1,0.4385,-0.1558,-0.1168,0.0794,0.467,-0.1057,-0.0685,0.1088
"Ukraine","Luxembourg","2015/06/14","EUC-Q",3,0,1,0.0594,-0.4485,-0.4503,0.63,0.073,-0.4723,-0.4741,0.6436
"Armenia","Portugal","2015/06/13","EUC-Q",2,3,1,0.1351,0.1254,0.3285,-0.2089,0.2038,0.1901,0.3944,-0.1414
"Denmark","Serbia","2015/06/13","EUC-Q",2,0,1,0.3931,-0.0899,0.1444,0.1763,0.3953,-0.1796,0.0525,0.1784
"Faroe Islands","Greece","2015/06/13","EUC-Q",2,1,1,-0.5238,0.5245,-0.1564,-0.1909,-0.383,0.5161,-0.1648,-0.0514
"Finland","Hungary","2015/06/13","EUC-Q",0,1,1,-0.1369,0.1692,0.0544,0.0169,-0.2115,0.1725,0.0579,-0.0553
"Gibraltar","Germany","2015/06/13","EUC-Q",0,7,1,-0.7315,0.5793,0.6153,-0.2075,-0.762,0.5973,0.6427,-0.2275
"Northern Ireland","Romania","2015/06/13","EUC-Q",0,0,1,0.0455,0.1472,0.1973,-0.2811,-0.0194,0.0537,0.1048,-0.3467
"Poland","Georgia","2015/06/13","EUC-Q",4,0,1,0.7616,0.0331,-0.2508,0.0885,0.7719,-0.0386,-0.3181,0.0994
"Republic of Ireland","Scotland","2015/06/13","EUC-Q",1,1,1,0.1327,-0.1116,0.1548,0.0628,0.1216,-0.0921,0.1733,0.0511
"Andorra","Cyprus","2015/06/12","EUC-Q",1,3,1,-0.9503,0.8258,-0.1988,0.326,-0.8855,0.8688,-0.1558,0.3909
"Bosnia-Herzegovina","Israel","2015/06/12","EUC-Q",3,1,1,0.1595,0.0213,0.1628,0.2388,0.1994,0.0277,0.1693,0.278
"Croatia","Italy","2015/06/12","EUC-Q",1,1,1,0.3808,-0.3035,0.4597,-0.232,0.3732,-0.2949,0.4686,-0.2393
"Iceland","Czech Republic","2015/06/12","EUC-Q",2,1,1,0.447,-0.0806,0.371,0.0231,0.4576,-0.0827,0.3687,0.0331
"Kazakhstan","Turkey","2015/06/12","EUC-Q",0,1,1,-0.2969,0.4464,0.0178,0.0454,-0.3617,0.4307,0.0018,-0.0183
"Latvia","Netherlands","2015/06/12","EUC-Q",0,2,1,-0.2768,0.2646,0.4644,-0.0802,-0.3359,0.2733,0.4733,-0.1383
